,Costs
1749,49264.0
1750,49408.0
1751,50650.0
1752,50974.0
1753,50794.0
1754,49552.0
1755,51847.0
1756,48130.0
1757,50065.0
1758,49327.0
1759,49093.0
1760,49237.0
1761,48859.0
1762,52135.0
1763,49876.0
1764,51496.0
1765,50587.0
1766,52891.0
1767,49921.0
1768,51982.0
1769,49885.0
1770,50110.0
1771,48841.0
1772,51676.0
1773,52747.0
1774,50758.0
1775,51046.0
1776,48562.0
1777,50119.0
1778,51685.0
1779,49264.0
1780,52405.0
1781,49750.0
1782,49678.0
1783,49309.0
1784,50371.0
1785,48031.0
1786,48139.0
1787,50866.0
1788,51883.0
1789,51154.0
1790,48634.0
1791,51100.0
1792,51046.0
1793,49480.0
1794,49714.0
1795,50803.0
1796,50470.0
1797,48247.0
1798,49489.0
1799,51442.0
1800,50911.0
1801,50227.0
1802,51298.0
1803,51793.0
1804,49912.0
1805,49237.0
1806,52153.0
1807,48535.0
1808,49201.0
1809,50893.0
1810,50299.0
1811,50155.0
1812,51118.0
1813,49696.0
1814,50398.0
1815,50065.0
1816,51694.0
1817,50659.0
1818,49678.0
1819,50857.0
1820,50470.0
1821,48769.0
1822,50209.0
1823,50407.0
1824,50929.0
1825,50722.0
1826,50614.0
1827,50461.0
1828,51460.0
1829,52171.0
1830,51244.0
1831,51865.0
1832,53134.0
1833,50677.0
1834,50812.0
1835,50137.0
1836,50434.0
1837,49786.0
1838,49291.0
1839,50821.0
1840,49390.0
1841,48733.0
1842,49201.0
1843,49696.0
1844,49615.0
1845,49597.0
1846,48994.0
1847,49489.0
1848,51082.0
1849,51046.0
1850,50119.0
1851,47941.0
1852,48760.0
1853,48814.0
1854,49885.0
1855,50317.0
1856,50668.0
1857,50704.0
1858,47104.0
1859,48022.0
1860,49570.0
1861,48085.0
1862,50641.0
1863,48679.0
1864,50533.0
1865,51244.0
1866,52585.0
1867,50596.0
1868,50191.0
1869,50092.0
